,netkeiba_id,japanese_name,english_name,foaled_date,trained_at,wins,starts,average_race_weight
0,1995103211,スペシャルウィーク,Special Week,02 MAY 1995,Ritto,10,17,471.88235294117646
1,1994103997,サイレンススズカ,Silence Suzuka,01 MAY 1994,Ritto,9,16,438.4
2,1988101025,トウカイテイオー,Tokai Teio,20 APR 1988,Ritto,9,12,466.0
3,000a0003bd,マルゼンスキー,Maruzensky,19 MAY 1974,,8,8,
4,1992109618,フジキセキ,Fuji Kiseki,15 APR 1992,Ritto,4,4,489.5
5,1985102167,オグリキャップ,Oguri Cap,27 MAR 1985,Ritto,22,32,483.375
6,2009102739,ゴールドシップ,Gold Ship,06 MAR 2009,Ritto,13,28,503.55555555555554
7,2004104258,ウオッカ,Vodka,04 APR 2004,Ritto,10,26,489.45454545454544
8,2004103198,ダイワスカーレット,Daiwa Scarlet,13 MAY 2004,Ritto,8,12,490.0
9,1994109686,タイキシャトル,Taiki Shuttle,23 MAR 1994,Miho,11,13,507.1666666666667
10,1995108676,グラスワンダー,Grass Wonder,18 FEB 1995,Miho,9,15,498.53333333333336
11,1991109852,ヒシアマゾン,Hishi Amazon,26 MAR 1991,Miho,10,20,479.4
12,1987107235,メジロマックイーン,Mejiro McQueen,03 APR 1987,Ritto,12,21,491.5238095238095
13,1995108742,エルコンドルパサー,El Condor Pasa,17 MAR 1995,Miho,8,11,471.7142857142857
14,1996100292,テイエムオペラオー,T.M.Opera O,13 MAR 1996,Ritto,14,26,472.6923076923077
15,1991108889,ナリタブライアン,Narita Brian,03 MAY 1991,Ritto,12,21,465.5238095238095
16,1981107017,シンボリルドルフ,Symboli Rudolf,13 MAR 1981,Miho,13,16,
17,1993109154,エアグルーヴ,Air Groove,06 APR 1993,Ritto,9,19,467.7894736842105
18,1997110025,アグネスデジタル,Agnes Digital,15 MAY 1997,Ritto,12,32,452.5483870967742
19,1995107393,セイウンスカイ,Seiun Sky,26 APR 1995,Miho,7,13,477.6923076923077
20,1984101673,タマモクロス,Tamamo Cross,23 MAY 1984,Ritto,9,18,446.6666666666667
21,1999110187,ファインモーション,Fine Motion,27 JAN 1999,Ritto,8,15,486.0
22,1990103355,ビワハヤヒデ,Biwa Hayahide,10 MAR 1990,Ritto,10,16,478.25
23,1992102988,マヤノトップガン,Mayano Top Gun,24 MAR 1992,Ritto,8,21,449.9047619047619
24,1998101554,マンハッタンカフェ,Manhattan Cafe,05 MAR 1998,Miho,6,12,492.90909090909093
25,1989103049,ミホノブルボン,Mihono Bourbon,25 APR 1989,Ritto,7,8,499.0
26,1987105368,メジロライアン,Mejiro Ryan,11 APR 1987,Miho,7,19,512.0
27,1992110167,ヒシアケボノ,Hishi Akebono,27 FEB 1992,Ritto,6,30,553.1
28,1990103565,ユキノビジン,Yukino Bijin,10 MAR 1990,Miho,6,10,465.4
29,1989107699,ライスシャワー,Rice Shower,05 MAR 1989,Miho,6,25,442.24
30,1987100579,アイネスフウジン,Ines Fujin,10 APR 1987,Miho,4,8,512.0
31,1998101516,アグネスタキオン,Agnes Tachyon,13 APR 1998,Ritto,4,4,496.0
32,1996107396,アドマイヤベガ,Admire Vega,12 MAR 1996,Ritto,4,8,455.5
33,1984106229,イナリワン,Inari One,07 MAY 1984,Miho,12,25,448.88
34,1990102314,ウイニングチケット,Winning Ticket,21 MAR 1990,Ritto,6,14,459.42857142857144
35,1997103398,エアシャカール,Air Shakur,26 FEB 1997,Ritto,4,20,501.57894736842104
36,2007102951,エイシンフラッシュ,Eishin Flash,27 MAR 2007,Ritto,6,27,489.36
37,2007102807,カレンチャン,Curren Chan,31 MAR 2007,Ritto,9,18,480.05555555555554
38,2003107045,カワカミプリンセス,Kawakami Princess,05 JUN 2003,Ritto,5,17,488.70588235294116
39,1984105823,ゴールドシチー,Gold City,16 APR 1984,Ritto,3,20,488.0
40,1989108341,サクラバクシンオー,Sakura Bakushin O,14 APR 1989,Miho,11,21,490.57142857142856
41,1994109364,シーキングザパール,Seeking the Pearl,16 APR 1994,Ritto,8,19,466.5
42,1993106964,シンコウウインディ,Shinko Windy,14 APR 1993,Miho,5,17,503.29411764705884
43,2001104313,スイープトウショウ,Sweep Tosho,09 MAY 2001,Ritto,8,24,459.25
44,1985104409,スーパークリーク,Super Creek,27 MAY 1985,Ritto,8,16,509.75
45,2005100097,スマートファルコン,Smart Falcon,04 APR 2005,Ritto,23,34,495.969696969697
46,2000101517,ゼンノロブロイ,Zenno Rob Roy,27 MAR 2000,Miho,7,20,499.36842105263156
47,2006103169,トーセンジョーダン,Tosen Jordan,04 FEB 2006,Ritto,9,30,482.0
48,2006102424,ナカヤマフェスタ,Nakayama Festa,05 APR 2006,Miho,5,15,455.6363636363636
49,1990102766,ナリタタイシン,Narita Taishin,10 JUN 1990,Ritto,4,15,429.06666666666666
50,1989107262,ニシノフラワー,Nishino Flower,19 APR 1989,Ritto,7,16,429.5
51,1996106177,ハルウララ,Haru Urara,27 FEB 1996,NAR,0,113,405.53097345132744
52,1985104122,バンブーメモリー,Bamboo Memory,14 MAY 1985,Ritto,8,39,496.20512820512823
53,1991109886,ビコーペガサス,Biko Pegasus,08 FEB 1991,Ritto,4,27,430.74074074074076
54,1992103687,マーベラスサンデー,Marvelous Sunday,31 MAY 1992,Ritto,10,15,487.3333333333333
55,1994100530,マチカネフクキタル,Matikanefukukitaru,22 MAY 1994,Ritto,6,22,508.27272727272725
56,1980107022,ミスターシービー,Mr. C. B.,07 APR 1980,Miho,8,15,
57,1996110113,メイショウドトウ,Meisho Doto,25 MAR 1996,Ritto,10,27,505.037037037037
58,1994108393,メジロドーベル,Mejiro Dober,06 MAY 1994,Miho,10,21,474.6666666666667
59,1988104866,ナイスネイチャ,Nice Nature,16 APR 1988,Ritto,7,41,494.5853658536585
60,1995104427,キングヘイロー,King Halo,28 APR 1995,Ritto,6,27,483.18518518518516
61,1989103489,マチカネタンホイザ,Matikanetannhauser,07 MAY 1989,Ritto,8,32,483.57575757575756
62,1987104784,イクノディクタス,Ikuno Dictus,16 APR 1987,Ritto,9,51,457.80392156862746
63,1987105372,メジロパーマー,Mejiro Palmer,21 MAR 1987,Ritto,9,38,462.1578947368421
64,1987102798,ダイタクヘリオス,Daitaku Helios,10 APR 1987,Ritto,10,35,467.77142857142854
65,1988106332,ツインターボ,Twin Turbo,13 APR 1988,Miho,6,33,415.79411764705884
66,2013106101,サトノダイヤモンド,Satono Diamond,30 JAN 2013,Ritto,8,18,503.75
67,2012102013,キタサンブラック,Kitasan Black,10 MAR 2012,Ritto,12,20,528.6
68,1985100743,サクラチヨノオー,Sakura Chiyono O,19 FEB 1985,Miho,5,10,467.2
69,1982103448,シリウスシンボリ,Sirius Symboli,26 MAR 1982,Miho,4,22,
70,1985103406,メジロアルダン,Mejiro Ardan,28 MAR 1985,Miho,4,14,504.2857142857143
71,1985104215,ヤエノムテキ,Yaeno Muteki,11 APR 1985,Ritto,8,23,498.69565217391306
72,1995108246,ツルマルツヨシ,Tsurumaru Tsuyoshi,06 APR 1995,Ritto,5,11,503.27272727272725
73,1994108411,メジロブライト,Mejiro Bright,19 APR 1994,Ritto,8,25,461.2
74,1991103498,サクラローレル,Sakura Laurel,08 MAY 1991,Miho,9,22,487.23809523809524
75,1996102442,ナリタトップロード,Narita Top Road,04 APR 1996,Ritto,8,30,488.6
76,1988101069,ヤマニンゼファー,Yamanin Zephyr,27 MAY 1988,Miho,8,20,459.6
77,2004106867,フリオーソ,Furioso,01 MAY 2004,NAR,11,39,504.02564102564105
78,2006104736,トランセンド,Transcend,09 MAR 2006,Ritto,10,24,512.5909090909091
79,2005102837,エスポワールシチー,Espoir City,22 APR 2005,Ritto,17,40,493.1025641025641
80,1990100908,ノースフライト,North Flight,12 APR 1990,Ritto,8,11,477.09090909090907
81,1999110099,シンボリクリスエス,Symboli Kris S,21 JAN 1999,Miho,8,15,531.3333333333334
82,1999100226,タニノギムレット,Tanino Gimlet,04 MAY 1999,Ritto,5,8,481.25
83,1987100260,ダイイチルビー,Daiichi Ruby,15 APR 1987,Ritto,6,18,464.77777777777777
84,1983103914,メジロラモーヌ,Mejiro Ramonu,09 APR 1983,Miho,9,12,
85,2004103323,アストンマーチャン,Aston Machan,05 MAR 2004,Ritto,5,11,470.72727272727275
86,2012104668,サトノクラウン,Satono Crown,10 MAR 2012,Miho,7,20,482.6111111111111
87,2012104759,シュヴァルグラン,Cheval Grand,14 MAR 2012,Ritto,7,33,471.3333333333333
88,2009106264,ヴィルシーナ,Verxina,05 MAR 2009,Ritto,5,21,450.1904761904762
89,2013106007,ヴィブロス,Vivlos,09 APR 2013,Ritto,4,17,422.61538461538464
90,1998103058,ダンツフレーム,Dantsu Flame,19 APR 1998,NAR,6,26,494.3076923076923
91,1988107943,ケイエスミラクル,K.S.Miracle,16 MAR 1988,Ritto,5,10,472.2
92,1998101786,ジャングルポケット,Jungle Pocket,07 MAY 1998,Ritto,5,13,470.9230769230769
93,1998101038,ビリーヴ,Believe,26 APR 1998,Ritto,10,28,466.92857142857144
94,1999104198,ノーリーズン,No Reason,04 JUN 1999,Ritto,3,12,474.1666666666667
95,2000106022,スティルインラブ,Still in Love,02 MAY 2000,Ritto,5,16,455.0
96,2010106548,コパノリッキー,Copano Rickey,24 MAR 2010,Ritto,16,33,533.6666666666666
97,2009100921,ホッコータルマエ,Hokko Tarumae,26 MAY 2009,Ritto,17,39,497.22222222222223
98,2006106794,ワンダーアキュート,Wonder Acute,14 MAR 2006,Ritto,13,48,507.6041666666667
99,2011104377,サウンズオブアース,Sounds of Earth,12 APR 2011,Ritto,2,30,499.86206896551727
100,1990104491,ロイスアンドロイス,Royce and Royce,10 MAR 1990,Miho,3,28,494.64285714285717
101,1980101425,カツラギエース,Katsuragi Ace,24 APR 1980,Ritto,10,22,
102,2000101426,ネオユニヴァース,Neo Universe,21 MAY 2000,Ritto,7,13,490.3076923076923
103,1999104693,ヒシミラクル,Hishi Miracle,31 MAR 1999,Ritto,6,28,457.57142857142856
104,1997110043,タップダンスシチー,Tap Dance City,16 MAR 1997,Ritto,12,42,503.5121951219512
105,2012104511,ドゥラメンテ,Duramente,22 MAR 2012,Miho,5,9,487.5
106,2002100959,ラインクラフト,Rhein Kraft,04 APR 2002,Ritto,6,13,460.3076923076923
107,2002100844,シーザリオ,Cesario,31 MAR 2002,Ritto,5,6,458.4
108,2002100516,エアメサイア,Air Messiah,04 FEB 2002,Ritto,4,12,465.6666666666667
109,2003103043,フサイチパンドラ,Fusaichi Pandora,27 FEB 2003,Ritto,4,21,498.0952380952381
110,2006103319,ブエナビスタ,Buena Vista,14 MAR 2006,Ritto,9,23,456.2857142857143
111,2008102636,オルフェーヴル,Orfevre,14 MAY 2008,Ritto,12,21,455.29411764705884
112,2009106253,ジェンティルドンナ,Gentildonna,20 FEB 2009,Ritto,10,19,468.2352941176471
113,2008103206,ウインバリアシオン,Win Variation,10 APR 2008,Ritto,4,23,517.4782608695652
114,2004102753,ドリームジャーニー,Dream Journey,24 FEB 2004,Ritto,9,31,423.16129032258067
115,1998103333,カルストンライトオ,Calstone Light O,03 MAY 1998,Ritto,9,36,493.8333333333333
116,1999106756,デュランダル,Durandal,25 MAY 1999,Ritto,8,18,453.8333333333333
117,1993109219,バブルガムフェロー,Bubble Gum Fellow,11 APR 1993,Miho,7,13,482.15384615384613
118,2009106599,フェノーメノ,Fenomeno,20 APR 2009,Miho,7,18,494.77777777777777
119,2015104961,アーモンドアイ,Almond Eye,10 MAR 2015,Miho,11,15,477.57142857142856
120,2016104532,グランアレグリア,Gran Alegria,24 JAN 2016,Miho,9,15,488.6666666666667
121,2016104648,ラヴズオンリーユー,Loves Only You,26 MAR 2016,Ritto,8,16,470.7692307692308
122,2016104750,クロノジェネシス,Chrono Genesis,06 MAR 2016,Ritto,8,17,452.53333333333336
123,1994108729,ステイゴールド,Stay Gold,24 MAR 1994,Ritto,7,50,424.0816326530612
124,2014101976,キセキ,Kiseki,13 MAY 2014,Ritto,4,33,501.46666666666664
125,2007102923,ヴィクトワールピサ,Victoire Pisa,31 MAR 2007,Ritto,8,15,511.5
